,Player,Total,2020/21
176,Terance Mann,5.678617345,1517981
153,Sterling Brown,5.671474341,1678854
85,Shake Milton,5.671170953,1701593
158,Kenrich Williams,5.6672052,2000000
120,Cedi Osman,5.664018827,8840580
228,Andre Iguodala,5.659743326,15000000
164,Garrett Temple,5.657848611,4767000
126,Theo Maledon,5.648671829,2000000
132,Isaac Okoro,5.648209193,6400920
128,Bryn Forbes,5.64689103,2337145
135,Landry Shamet,5.628308132,2090040
111,Lonnie Walker,5.628019035,2895720
107,Immanuel Quickley,5.612335944,2105520
138,Furkan Korkmaz,5.598963526,1762796
142,Talen Horton-Tucker,5.595104067,1517981
189,Denzel Valentine,5.592635591,4642800
173,Kent Bazemore,5.585715579,2320044
203,Devin Vassell,5.577887016,4033440
105,Davis Bertans,5.575532676,15000000
68,Luguentz Dort,5.568315839,1517981
184,Jeff Teague,5.565462186,3372826
191,Alex Caruso,5.564852953,2750000
205,Derrick Favors,5.558276477,9258000
77,Goran Dragic,5.557706511,18000000
169,DeAndre Jordan,5.552523506,10375678
206,Rajon Rondo,5.544469134,7500000
145,Isaiah Roby,5.542178453,1517981
180,Georges Niang,5.539666503,1783557
80,Josh Jackson,5.522286688,4767000
181,Derrick Jones,5.519884964,9258000
186,Trey Burke,5.518026125,3000000
113,Blake Griffin,5.506520668,33900241
226,Solomon Hill,5.506358439,2174318
125,Elfrid Payton,5.505517313,4767000
213,Marc Gasol,5.503806128,2564753
146,Terence Davis,5.497467267,1517981
171,Aaron Holiday,5.496977472,2345640
187,Alex Len,5.488377086,3970648
183,Jaden McDaniels,5.478820879,1964760
177,Daniel Gafford,5.468539677,1517981
104,Hamidou Diallo,5.461437354,1663861
157,Tyrese Maxey,5.454590332,2478840
204,Torrey Craig,5.434546653,1678854
102,Jordan Poole,5.431061051,2063280
197,Dwight Powell,5.422874831,11080125
219,Wesley Matthews,5.41256709,3623000
159,Anfernee Simons,5.386262839,2252040
179,Dwight Howard,5.358742907,2564753
208,Josh Okogie,5.358700412,2651040
154,JaMychal Green,5.347467833,7199760
201,Garrison Mathews,5.308939906,688052
185,Markieff Morris,5.308063273,2331593
166,Edmond Sumner,5.301143695,2160000
227,Stanley Johnson,5.288200793,3804150
202,Brad Wanamaker,5.286217898,2250000
231,Kevon Looney,5.280047699,4821429
167,Patrick Beverley,5.268821118,13333333
144,Dario Saric,5.26032982,9250000
163,Tristan Thompson,5.231967168,9258000
170,James Johnson,5.195765135,16047100
232,Obi Toppin,5.189995067,4862040
188,Frank Kaminsky,5.180057219,1737145
222,Semi Ojeleye,5.178041623,1752950
233,Cody Martin,5.172951317,1517981
192,Deni Avdija,5.160506372,4469160
215,Bismack Biyombo,5.145455778,3500000
210,Willie Cauley-Stein,5.093841514,4100000
230,Jevon Carter,5.082364843,3925000
200,Mychal Mulder,5.070401436,1517981
223,Nassir Little,5.060874655,2210640
217,Caleb Martin,5.060365518,1517981
225,Rodney Hood,5.056171632,10047450
229,Mike Scott,5.003460047,5005350
194,Aron Baynes,4.999675312,7000000
162,Ben McLemore,4.931323542,2893630
221,Grant Williams,4.884674254,2498760
220,Aaron Nesmith,4.8371596,3458400
224,Onyeka Okongwu,4.823886834,5813640
218,Gabe Vincent,4.773439907,660750
211,Sekou Doumbouya,4.765480619,3449400
237,Miye Oni,4.755690154,1517981
235,Amir Coffey,4.740466987,578842
216,Precious Achiuwa,4.713766454,2582160
236,Thanasis Antetokounmpo,4.61577204,1701593
